"BehaviorSpace results (NetLogo 6.2.0)"
"/home/h2/s1426633/IPS-SPREADS-2-4-MM.nlogo"
"UPS1"
"08/04/2022 09:15:31:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","sanitation-felling","path-to-input","[step]","nhost1","nhost2","nhost3","prima1","prima2","prima3","count spruce","ncut1","ncut2","ncut3"
"113","0","input/5265/","8109","0","0","0","4.593360995850622","0","0","723","0","0","0"
"117","0","input/5265/","8138","0","0","0","4.593360995850622","0","0","723","0","0","0"
"116","0","input/5265/","8132","0","0","0","4.593360995850622","0","0","723","0","0","0"
"118","0","input/5265/","8115","0","0","0","4.593360995850622","0","0","723","0","0","0"
"119","0","input/5265/","8119","0","0","0","4.593360995850622","0","0","723","0","0","0"
"120","0","input/5265/","8143","0","0","0","4.593360995850622","0","0","723","0","0","0"
"89","0","input/4822/","48743","96","113","86","4.1284210526315785","3.2863157894736843","2.2778947368421054","475","0","0","0"
"90","0","input/4822/","47887","96","106","90","4.1284210526315785","3.288421052631579","2.336842105263158","475","0","0","0"
"125","0","input/5368/","47477","354","699","419","3.5602836879432624","2.788179669030733","1.533806146572104","2115","0","0","0"
"131","0","input/5397/","8112","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"132","0","input/5397/","8138","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"133","0","input/5397/","8117","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"124","0","input/5368/","47274","352","706","424","3.5602836879432624","2.789125295508274","1.5252955082742317","2115","0","0","0"
"121","0","input/5368/","47700","360","705","422","3.5602836879432624","2.773049645390071","1.514420803782506","2115","0","0","0"
"128","0","input/5368/","47240","356","705","420","3.5602836879432624","2.7843971631205675","1.5196217494089834","2115","0","0","0"
"122","0","input/5368/","47298","358","704","418","3.5602836879432624","2.7777777777777777","1.518676122931442","2115","0","0","0"
"134","0","input/5397/","8112","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"135","0","input/5397/","8110","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"136","0","input/5397/","8125","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"137","0","input/5397/","8148","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"138","0","input/5397/","8119","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"139","0","input/5397/","8200","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"140","0","input/5397/","8144","0","0","0","3.573278800272665","0","0","1467","0","0","0"
"126","0","input/5368/","47617","354","710","427","3.5602836879432624","2.7853427895981087","1.5167848699763593","2115","0","0","0"
"123","0","input/5368/","47709","355","706","429","3.5602836879432624","2.7810874704491724","1.5215130023640662","2115","0","0","0"
"127","0","input/5368/","47711","355","705","426","3.5602836879432624","2.782978723404255","1.5238770685579197","2115","0","0","0"
"129","0","input/5368/","47705","358","710","422","3.5602836879432624","2.7763593380614657","1.508274231678487","2115","0","0","0"
"130","0","input/5368/","47910","355","699","428","3.5602836879432624","2.782033096926714","1.532387706855792","2115","0","0","0"
"141","0","input/5498/","47934","494","574","292","4.74009900990099","3.1930693069306932","1.4579207920792079","1616","0","0","0"
"144","0","input/5498/","47160","495","574","291","4.74009900990099","3.191212871287129","1.4548267326732673","1616","0","0","0"
"143","0","input/5498/","47351","495","569","296","4.74009900990099","3.1930693069306932","1.4672029702970297","1616","0","0","0"
"142","0","input/5498/","47222","495","572","293","4.74009900990099","3.1918316831683167","1.4597772277227723","1616","0","0","0"
"145","0","input/5498/","46962","497","574","289","4.74009900990099","3.1856435643564356","1.4504950495049505","1616","0","0","0"
"146","0","input/5498/","47145","499","575","286","4.74009900990099","3.1794554455445545","1.441831683168317","1616","0","0","0"
"147","0","input/5498/","47206","494","572","294","4.74009900990099","3.1943069306930694","1.463490099009901","1616","0","0","0"
"148","0","input/5498/","47332","494","573","293","4.74009900990099","3.194925742574257","1.4597772277227723","1616","0","0","0"
"149","0","input/5498/","47527","500","575","285","4.74009900990099","3.176980198019802","1.4362623762376239","1616","0","0","0"
"150","0","input/5498/","47371","493","570","297","4.74009900990099","3.198638613861386","1.4690594059405941","1616","0","0","0"
"151","0","input/5500/","46507","163","290","401","4.570271557884707","4.169128156264888","3.4792758456407813","2099","0","0","0"
"152","0","input/5500/","46685","164","290","405","4.570271557884707","4.166746069556932","3.4778465936160075","2099","0","0","0"
